Titre,Est tête d'arborescence,Terme Générique,Verbalisation française,Description   
"Humanities, Multidisciplinary",n/a,Arts and Humanities Citation Index,"Sciences humaines, Multidisciplinaires","Humanities, Multidisciplinary includes resources on two or more topics pertaining to creative, artistic, philosophical, or historical expression and on records, documents, works, or artifacts produced by these endeavors, such as collections of a particular library. Resources concerned with all aspects of a particular discipline or culture are categorized here. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Language & Linguistics,n/a,Arts and Humanities Citation Index,Langage & Linguistique,"Language &amp; Linguistics covers resources relating to theoretical, literary and historical linguistics as well as stylistics and philology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Literary Reviews,n/a,Arts and Humanities Citation Index,Revues littéraires,"Literary Reviews includes resources on creative material such as short stories, poetry, artwork, photography, and critical essays. Their emphasis is on original works rather than on the analysis of literature or other works of art. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Literary Theory & Criticism,n/a,Arts and Humanities Citation Index,Théorie et critique littéraires,"Literary Theory &amp; Criticism covers resources that are concerned with theoretical aspects of the literary form, value in the cultural context as well as with the philosophical and/or historical interpretation of the literary text. Articles of metaliterature or philosophical literature may be covered here. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Literature,n/a,Arts and Humanities Citation Index,Littérature,"Literature includes resources that cover comparative literature, literature of a specific genre, literary movement or era in literary history, and specialty literatures (such as children's or women's literature). Also included in this category are resources concerned with the literature of two or more cultures (for example, British and American). Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Literature, African, Australian, Canadian",n/a,Arts and Humanities Citation Index,"Littérature, Africaine, Australienne, Canadienne","Literature, African, Australian, Canadian includes resources concerned with literature written in English from the African continent, as well as Australia, New Zealand, and Canada (sometimes referred to as ""Commonwealth Literature""). Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Literature, American",n/a,Arts and Humanities Citation Index,"Littérature, Américaine","Literature, American includes resources on the literature from America, from colonial to contemporary eras. Some resources deal with the full literary spectrum; others are devoted to specific writers or literary movements, eras, or regions of the country. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Literature, British Isles",n/a,Arts and Humanities Citation Index,"Littérature, Iles britanniques","Literature, British Isles covers resources on the literature of England, Ireland, Scotland, and Wales. Some resources may focus on particular periods or individual writers. Most resources emphasize works written in English, but Celtic material is also included. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Literature, German, Dutch, Scandinavian",n/a,Arts and Humanities Citation Index,"Littérature, Allemande, Néerlandaise, Scandinave","Literature, German, Dutch, Scandinavian covers resources that include Germanic literature from Germany, Austria, Switzerland, the Netherlands, Scandinavia, and other German speaking cultures. Some resources focus on two or more of these national literatures, others emphasize one exclusively. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Literature, Romance",n/a,Arts and Humanities Citation Index,"Littérature, Romane","Literature, Romance includes resources that are concerned with the literature written in the Romance languages -- French, Italian, Portuguese, Romanian, Spanish, and others. This category includes non-European cultures (such as Latin America, French Quebec) where a Romance language is the national tongue. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Literature, Slavic",n/a,Arts and Humanities Citation Index,"Littérature, Slave","Literature, Slavic covers resources on the literature of the Slavic nations: Byelorussia, Bulgaria, the Czech Republic, Poland, Russia, Serbia, Slovakia, Slovenia, and the Ukraine among others. Some resources include articles on several Slavic national literatures, others emphasize one exclusively. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Medieval & Renaissance Studies,n/a,Arts and Humanities Citation Index,Etudes médiévales & sur la Renaissance,"Medieval &amp; Renaissance Studies covers resources on architecture, art, history, literature, philosophy, religion, and science in the European and Byzantine contexts from 500 to 1700 CE. Multidisciplinary resources within these geographic and chronological limits will also be included in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Music,n/a,Arts and Humanities Citation Index,Musique,"Music covers resources concerned with all types of music -- classical, opera, ethnic, choral, folk, sacred, early music, popular, jazz, country, new music, and others. Music therapy and perception as well as music history are covered here. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Philosophy,n/a,Arts and Humanities Citation Index,Philosophie,"Philosophy covers resources on every branch of philosophy including logic, metaphysics, epistemology, descriptive ethics, and metaphilosophy. Normative ethics is covered in the SSCI. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Poetry,n/a,Arts and Humanities Citation Index,Poésie,"Poetry includes resources devoted to original poetry and those with articles about poetry, a particular poet, or national poetry. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Religion,n/a,Arts and Humanities Citation Index,Religion,"Religion includes resources on the major world religions, as well as biblical studies, spirituality, and the history and sociology of religion. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Theater,n/a,Arts and Humanities Citation Index,Théâtre,"Theater covers resources on dramaturgy, theatrical history, theater design, technique and performance, as well as individual dramatists. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
