Titre,Lbellé en français,Est tête d'arborescence,Terme Générique,Terme Spécifique, Description ,Source,Cette resource dans cat INIST
Meteorology & Atmospheric Sciences,Météorologie et sciences atmosphériques,n/a,Earth & Environmental Sciences,n/a,"La météorologie est une science qui a pour objet l'étude des phénomènes atmosphériques tels que les nuages, les précipitations ou le vent dans le but de comprendre comment ils se forment et évoluent en fonction des paramètres mesurés tels que la pression, la température et l'humidité. Le mot vient du grec ancien μετέωρος / metéōros qui désigne les particules en suspension dans l'atmosphère et -λογία / -logia veut dire « discours » ou « connaissance ». Source: https://fr.wikipedia.org/wiki/Météorologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-RTD77K4T-7
Oceanography,Océanographie,n/a,Earth & Environmental Sciences,n/a,"L’océanographie, néologisme formé en 1854 en Autriche du mot « Ozean », océan accolé d'une terminaison « graphie», tirée du grec γράφειν / gráphein écrire, mais indiquant dans le jargon géographique une description scientifique, nomme l'étude des océans et des mers de la planète Terre. Un premier congrès en 1871 et l'expédition Challenger accomplie entre 1872 et 1876 concrétisent la naissance de cette discipline et en popularise rapidement et le nom et les premières avancées auprès du public amateur. Source: https://fr.wikipedia.org/wiki/Océanographie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-RDKZTM94-K
Paleontology,Paléontologie,n/a,Earth & Environmental Sciences,n/a,La paléontologie est la discipline scientifique qui étudie les restes fossiles des êtres vivants du passé et les implications évolutives ressortant de l'étude de ces restes. Source: https://fr.wikipedia.org/wiki/Paléontologie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-8RFHMJ8W-F
Mathematics & Statistics,Mathématiques & statistiques,n/a,Natural Sciences,Applied Mathematics ; General Mathematics ; Numerical & Computational Mathematics ; Statistics & Probability,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9C8JM5TR-J
Applied Mathematics,Mathématiques appliquées,n/a,Mathematics & Statistics,n/a,"Les mathématiques appliquées sont une branche des mathématiques qui s'intéresse à l'application du savoir mathématique aux autres domaines. L'analyse numérique, les mathématiques de l'ingénierie ; l'optimisation linéaire, la programmation dynamique, l'optimisation et la recherche opérationnelle ; les bio-mathématiques, la bio-informatique, la théorie de l'information, la théorie des jeux ; les probabilités et lesstatistiques ; les mathématiques financières et l'actuariat ; la cryptographie et, jusqu'à un certain point, la combinatoire et la géométrie finie ; la théorie des graphes telle qu'appliquée à l'analyse de réseaux, ainsi qu'une bonne partie de ce qu'on appelle l'informatique sont autant de domaines d'application des mathématiques. Source: https://fr.wikipedia.org/wiki/Mathématiques_appliquées",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9C8JM5TR-J
General Mathematics,Mathématiques générales,n/a,Mathematics & Statistics,n/a,"Les mathématiques sont un ensemble de connaissances abstraites résultant de raisonnements logiques appliqués à des objets divers tels que les nombres, les figures, lesstructures et les transformations. Source: https://fr.wikipedia.org/wiki/Mathématiques",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9C8JM5TR-J
Numerical & Computational Mathematics,Mathématiques computationnelles et numériques,n/a,Mathematics & Statistics,n/a,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9C8JM5TR-J
Statistics & Probability,Statistiques et probabilités,n/a,Mathematics & Statistics,n/a,"La théorie des probabilités est l'étude mathématique des phénomènes caractérisés par le hasard et l'incertitude ; la statistique est l'activité qui consiste à recueillir, traiter et interpréter un ensemble de données. Il existe des interconnexions entre ces deux domaines des sciences de l'aléatoire. Source: https://fr.wikipedia.org/wiki/Portail:Probabilités_et_statistiques",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9C8JM5TR-J
Physics & Astronomy,Physique & astronomie,n/a,Natural Sciences,Acoustics ; Applied Physics ; Astronomy & Astrophysics ; Chemical Physics ; Fluids & Plasmas ; General Physics ; Mathematical Physics ; Nuclear & Particles Physics ; Optics ,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SBX1VX6K-3
Acoustics,Acoustique,n/a,Physics & Astronomy,n/a,"L’acoustique est la science du son, ce qui inclut sa production, son contrôle, sa transmission, sa réception et ses effets. Elle fait notamment appel à des notions de mécanique des fluides, de mécanique vibratoire, de mécanique du solide déformable et de thermodynamique. Source: https://fr.wikipedia.org/wiki/Acoustique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-96TKP0GW-N
Applied Physics,Physique appliquée,n/a,Physics & Astronomy,n/a,"La physique appliquée est la branche de la physique qui s'intéresse à l'étude de ses applications industrielles, notamment du point de vue de l'équipement dans les secteurs primaires et secondaires (moteur, machine d'usinage, transformateur, poste de soudage...). Source: https://fr.wikipedia.org/wiki/Physique_appliquée",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-18XKSLK9-M
Astronomy & Astrophysics,Astronomie et astrophysique,n/a,Physics & Astronomy,n/a,"1)L’astronomie est la science de l’observation des astres, cherchant à expliquer leur origine, leur évolution, ainsi que leurs propriétés physiques et chimiques. 2)L’astrophysique (du grec astêr = étoile, astre et physis = science de la nature, physique) est une branche interdisciplinaire de l'astronomie qui concerne principalement la physique et l'étude des propriétés des objets de l'univers (étoiles, planètes, galaxies, milieu interstellaire par exemple), comme leur luminosité, leur densité, leur température et leur composition chimique.  Sources: https://fr.wikipedia.org/wiki/Astronomie  ; https://fr.wikipedia.org/wiki/Astrophysique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SBX1VX6K-3
Chemical Physics,Physico-chimie,n/a,Physics & Astronomy,n/a,"La physico-chimie est une sous-discipline de la chimie et de la physique qui étudie les phénomènes physico-chimiques en utilisant des techniques de la physique atomique et moléculaire et de la physique de la matière condensée. En somme, c'est la branche de la physique qui étudie la nature physique de la chimie. À la frontière entre la chimie et la physique, la physico-chimie se différencie de la chimie physique en ce sens qu'elle se concentre avant tout sur des éléments et des théories caractéristiques de la physique. Source: https://fr.wikipedia.org/wiki/Physico-chimie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-QJHD5FVK-1
Fluids & Plasmas,Fluides et plasmas,n/a,Physics & Astronomy,n/a,"1)La mécanique des fluides est l’étude du comportement des fluides (liquides et gaz) et des forces internes associées. 2)La physique des plasmas est la branche de la physique qui étudie les propriétés, la dynamique et les applications des plasmas. Un plasma est une phase de la matière constituée de particules chargées, d'ions et d'électrons. Sources: https://fr.wikipedia.org/wiki/Mécanique_des_fluides ; https://fr.wikipedia.org/wiki/Physique_des_plasmas",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-V8N1J3M9-B
General Physics,Physique générale,n/a,Physics & Astronomy,n/a,"La physique est la science qui tente de comprendre, de modéliser, voire d'expliquer les phénomènes naturels de l'univers. Elle correspond à l'étude du monde qui nous entoure sous toutes ses formes, des lois de sa variation et de son évolution. Source: https://fr.wikipedia.org/wiki/Physique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VLGDFF4K-0
Mathematical Physics,Physique mathématique,n/a,Physics & Astronomy,n/a,"La physique mathématique est un domaine de recherche commun à la physique et aux mathématiques s'intéressant au développement des méthodes mathématiques spécifiques aux problèmes physiques ou plus généralement à l'application des mathématiques à la physique, et, à l'opposé, aux développements mathématiques que suscitent certains domaines de recherche en physique. Elle inclut notamment l'étude dessystèmes dynamiques, des algèbres aux symétries particulières, des méthodes de décomposition en séries et des méthodes de résolution d'équations différentielles. Source: https://fr.wikipedia.org/wiki/Physique_mathématique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VLGDFF4K-0
Nuclear & Particles Physics,Physique des particules et nucléaire,n/a,Physics & Astronomy,n/a,"1)La physique des particules ou la physique subatomique est la branche de la physique qui étudie les constituants élémentaires de la matière et les rayonnements, ainsi que leurs interactions. On l'appelle aussi parfois physique des hautes énergies. 2)La physique nucléaire étudie le noyau atomique (élaboration d'un modèle théorique) et la façon dont il interagit lorsqu'une particule arrive « à proximité ». Sources: https://fr.wikipedia.org/wiki/Physique_nucléaire ; https://fr.wikipedia.org/wiki/Physique_des_particules",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-544ZN0BQ-S
Optics,Optique,n/a,Physics & Astronomy,n/a,"L'optique est la branche de la physique qui traite de la lumière et de ses propriétés, du rayonnement électromagnétique, de la vision ainsi que les systèmes utilisant ou émettant de la lumière. Du fait de ses propriétés ondulatoires, le domaine de la lumière peut couvrir le lointain UV jusqu'au lointain IR en passant par les longueurs d'onde visibles. Ces propriétés recouvrent alors le domaine des ondes radio, micro-ondes, des rayons X et des radiations électromagnétiques. Source: https://fr.wikipedia.org/wiki/Optique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-0QWX29VC-V
